Time,Qubit,Gate,TargetQubit,Angle
0.00863716,0,RX,1.06251
0.00863716,0,RY,2.46176
0.0174437,1,RX,2.45804
0.0174437,1,RY,1.33337
0.0277018,2,RX,0.913534
0.0277018,2,RY,2.9435
0.0351,3,RX,0.187219
0.0351,3,RY,0.851574
0.0418018,4,RX,2.72347
0.0418018,4,RY,1.77835
0.0485677,5,RX,1.01687
0.0485677,5,RY,2.24132
0.0540699,6,RX,2.78717
0.0540699,6,RY,0.751774
0.0590025,7,RX,1.20104
0.0590025,7,RY,1.24038
0.0631445,8,RX,1.91915
0.0631445,8,RY,0.30702
0.0670679,9,RX,1.28609
0.0670679,9,RY,2.39204
0.0680118,0,CNOT,1
0.0692956,1,CNOT,2
0.0702501,2,CNOT,3
0.0711179,3,CNOT,4
0.0719501,4,CNOT,5
0.0727285,5,CNOT,6
0.0734688,6,CNOT,7
0.0741384,7,CNOT,8
0.074849,8,CNOT,9
0.0776326,0,RX,2.69899
0.0776326,0,RY,1.24447
0.0805554,1,RX,1.73155
0.0805554,1,RY,1.52872
0.0833718,2,RX,2.2234
0.0833718,2,RY,3.07197
0.0859826,3,RX,1.20891
0.0859826,3,RY,2.09348
0.0886815,4,RX,3.07237
0.0886815,4,RY,0.464804
0.0913378,5,RX,0.0325138
0.0913378,5,RY,0.993282
0.0939043,6,RX,2.92657
0.0939043,6,RY,2.49056
0.096356,7,RX,2.32665
0.096356,7,RY,0.698508
0.0994795,8,RX,2.29246
0.0994795,8,RY,2.51387
0.101944,9,RX,1.55008
0.101944,9,RY,1.87434
0.102765,0,CNOT,1
0.103822,1,CNOT,2
0.104581,2,CNOT,3
0.105269,3,CNOT,4
0.105965,4,CNOT,5
0.106631,5,CNOT,6
0.107292,6,CNOT,7
0.107921,7,CNOT,8
0.108547,8,CNOT,9
0.111642,0,RX,1.15063
0.111642,0,RY,2.56695
0.114624,1,RX,0.974072
0.114624,1,RY,0.796208
0.117502,2,RX,0.177133
0.117502,2,RY,2.17511
0.120388,3,RX,2.03658
0.120388,3,RY,2.09628
0.123204,4,RX,2.48213
0.123204,4,RY,0.181077
0.126019,5,RX,1.34673
0.126019,5,RY,2.03953
0.128765,6,RX,1.42554
0.128765,6,RY,3.07828
0.131484,7,RX,0.426655
0.131484,7,RY,0.507354
0.134106,8,RX,3.00866
0.134106,8,RY,1.63557
0.137544,9,RX,2.60083
0.137544,9,RY,2.93944
0.13857,0,CNOT,1
0.139597,1,CNOT,2
0.140464,2,CNOT,3
0.141443,3,CNOT,4
0.142197,4,CNOT,5
0.142924,5,CNOT,6
0.14364,6,CNOT,7
0.144312,7,CNOT,8
0.144985,8,CNOT,9
0.147919,0,RX,2.10037
0.147919,0,RY,2.63335
0.151104,1,RX,0.791124
0.151104,1,RY,1.88535
0.154098,2,RX,1.98231
0.154098,2,RY,3.11778
0.157102,3,RX,2.58385
0.157102,3,RY,1.13318
0.159953,4,RX,2.49006
0.159953,4,RY,0.992345
0.162787,5,RX,3.00752
0.162787,5,RY,0.499093
0.165552,6,RX,0.417703
0.165552,6,RY,0.840002
0.168279,7,RX,1.2953
0.168279,7,RY,0.594836
0.170986,8,RX,3.01511
0.170986,8,RY,0.190291
0.174074,9,RX,2.69112
0.174074,9,RY,2.35565
0.17499,0,CNOT,1
0.176037,1,CNOT,2
0.17686,2,CNOT,3
0.177617,3,CNOT,4
0.178375,4,CNOT,5
0.17912,5,CNOT,6
0.179849,6,CNOT,7
0.180541,7,CNOT,8
0.181446,8,CNOT,9
0.184412,0,RX,0.371369
0.184412,0,RY,0.896255
0.187725,1,RX,1.25358
0.187725,1,RY,1.79691
0.19081,2,RX,0.832941
0.19081,2,RY,1.68024
0.193915,3,RX,2.30427
0.193915,3,RY,0.700009
0.19675,4,RX,0.174212
